price_£,proprety type,surface,bedroom,bathroom,address,city,principale
901589.0,House,13315.07,7,7,"Cabo Negro, Tétouan",Tétouan,
1382435.0,House,30139.2,1,1,"Rabat, Rabat",Rabat,
4450208.0,House,142762.94,5,1,"Marrakech, Marrakech-Ménara",Marrakech,
2354148.0,House,23250.24,4,1,"Rabat, Rabat",Rabat,
148262.0,House,548.96,1,1,"Casablanca, Casablanca",Casablanca,
901589.0,Rural,107640.0,1,1,"Benslimane, Ben Slimane",Benslimane,
601060.0,House,8611.2,1,1,"Mohammadia, Mohammedia",Mohammedia,
711855.0,House,4499.35,1,1,"Marrakech, Marrakech-Ménara",Marrakech,
613081.0,House,8848.01,4,4,"Marrakech, Marrakech-Ménara",Marrakech,
2182721.0,House,15069.6,4,4,"Tétouan, Tétouan",Tétouan,
1101942.0,House,47361.6,5,1,"Marrakech, Marrakech-Ménara",Marrakech,
530937.0,Apartment,2852.46,1,1,"Rabat, Rabat",Rabat,
188833.0,House,581.26,1,1,"Casablanca, Casablanca",Casablanca,
1692984.0,House,19321.38,3,1,"Rabat, Rabat",Rabat,
310548.0,Apartment,1076.4,2,1,"Casablanca, Casablanca",Casablanca,
1192101.0,House,6942.78,5,5,"Rabat, Rabat",Rabat,
161786.0,House,581.26,1,1,"Casablanca, Casablanca",Casablanca,
751324.0,Apartment,2497.25,3,3,"Bouznika, Ben Slimane",Benslimane,
520919.0,House,9935.17,3,1,"Marrakech, Marrakech-Ménara",Marrakech,
120213.0,Apartment,861.12,2,1,"Casablanca, Casablanca",Casablanca,
2203884.0,House,107640.0,6,1,"Marrakech, Marrakech-Ménara",Marrakech,
564996.0,Apartment,2820.17,3,1,"Rabat, Rabat",Rabat,
708979.0,House,3498.27,4,3,"Essaouira, Marrakesh-Safi",Marrakech,
210068.0,House,1560.77,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
294095.0,House,2712.51,4,4,"Essaouira, Marrakesh-Safi",Marrakech,
462149.0,House,2475.7,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
456898.0,House,2325.0,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
122890.0,House,2325.02,3,2,"DR Oubaha, Tamraght, Agadir",Tamraght,Agadir
225823.0,House,2120.49,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
367619.0,House,3444.45,3,3,"Essaouira, Marrakesh-Safi",Marrakech,
4195966.0,House,10000.0,7,7,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
470548.0,House,361.0,4,4,"Route de Tahanaout, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
122890.0,House,2325.0,3,2,"DR Oubaha, Agadir, Souss-Massa 8000",Agadir,Souss-Massa
529978.0,House,694.0,4,4,"Route Amizmiz, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
1668396.0,House,1350.0,4,4,"Sidi Belyout, Casablanca, Casablanca-Settat",Casablanca,Casablanca-Settat
599424.0,House,500.0,4,4,"Agdal, Marrakech, Marrakesh-Tensift-El Haouz",Marrakech,Marrakesh-Tensift-El Haouz
336109.0,House,5381.96,8,8,"Taroudant, Souss-Massa",Agadir,
608415.0,House,652.0,4,4,"Route de lOurika, Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
1730960.0,House,4090.29,5,5,"Marrakesh, Marrakesh-Safi",Marrakech,
2704625.0,House,7534.74,7,7,"Marrakesh, Marrakesh-Safi",Marrakech,
2596440.0,House,9149.32,6,6,"Marrakesh, Marrakesh-Safi",Marrakech,
1648415.0,House,1250.0,4,4,"Ennakhil-(Palmeraie), Marrakech, Marrakesh-Safi",Marrakech,Marrakesh-Safi
3461919.0,House,19375.04,7,7,"Marrakesh, Marrakesh-Safi",Marrakech,
7572949.0,House,7168.76,4,4,"Marrakesh, Marrakesh-Safi",Marrakech,
3029179.0,House,12916.69,6,6,"Marrakesh, Marrakesh-Safi",Marrakech,
843843.0,House,4197.93,4,4,"Marrakesh, Marrakesh-Safi",Marrakech,
693224.0,House,4305.56,6,5,"Essaouira, Marrakesh-Safi",Marrakech,
346612.0,House,2906.28,5,2,"184 Souiria Kadima, Safi, Safi, Province de",Safi,Safi
1498559.0,House,1100.0,4,4,"Marrakech, Marrakesh-Safi",Marrakech,
